WKT,osm_id,name,type
"LINESTRING (19.1674664 52.2355103,19.1627095 52.2351344,19.1540631 52.2345271,19.1480338 52.2340355,19.1419611 52.2336596,19.1324761 52.2330089,19.1288614 52.2327197,19.1266347 52.2326474,19.1187402 52.2324306,19.109183 52.2322426,19.1034573 52.2321992,19.0975581 52.2320835,19.0917167 52.231939,19.0829258 52.231751,19.0714021 52.2314618,19.0603122 52.2312016,19.0501477 52.2309847,19.0415158 52.2307823,19.0365275 52.2306377,19.0300788 52.2305509,19.0262762 52.2304786)",4692940,,rail
"LINESTRING (19.0262762 52.2304786,19.0214758 52.2303774,19.0103137 52.2301171,19.0016095 52.2299003,18.9993394 52.2297412,18.99318 52.2293075,18.9792995 52.2282664,18.9697133 52.227529,18.967212 52.2274856,18.9562088 52.2281941,18.9490806 52.2286713,18.9462901 52.2287436,18.9427043 52.2286857,18.933682 52.2283821,18.9219559 52.2281218,18.9102587 52.2278616,18.8992411 52.2275869,18.8912309 52.2273844)",4692941,,rail
"LINESTRING (18.8912309 52.2273844,18.8873126 52.2273555,18.8773794 52.2270808,18.8691668 52.2268928,18.8582215 52.2265892,18.8481148 52.2263579,18.8349717 52.2260398,18.8252409 52.225765,18.8220745 52.2254903,18.8189224 52.2249987,18.813457 52.2240445,18.8012393 52.2218612,18.7945976 52.2207034,18.7913784 52.2200972,18.784298 52.2189156,18.7833538 52.2186947,18.7779465 52.2177061,18.7742158 52.2170319,18.7709481 52.2165259,18.7679118 52.2159909)",4692942,,rail
"LINESTRING (18.7679118 52.2159909,18.7621427 52.2149499,18.7594967 52.2144583,18.7571255 52.2140823,18.754335 52.2135618,18.7519782 52.2132582,18.7474236 52.2129401,18.7413653 52.2125809,18.7328411 52.2120354,18.7222573 52.2115314,18.7093657 52.2108947,18.6920442 52.2099398,18.6708765 52.2088257,18.6534224 52.2078973,18.643316 52.2072872,18.6414805 52.2072414,18.6411144 52.2072342,18.638674 52.2075525,18.6366315 52.2082156,18.6353848 52.2089053,18.6319894 52.211107)",4692943,,rail
"LINESTRING (18.6319894 52.211107,18.6293899 52.212725,18.6229706 52.216757,18.608991 52.2256809,18.6031565 52.2293764,18.5985609 52.2322418,18.5904493 52.2373496,18.5853969 52.2404641,18.5842757 52.2410731,18.5831129 52.2415714,18.5812165 52.2423743,18.5784481 52.2431771,18.5768977 52.2435094,18.5739216 52.2439523,18.5719837 52.2441323,18.5684955 52.2442568,18.5647165 52.2443676)",4692944,,rail
"LINESTRING (18.5647165 52.2443676,18.5616435 52.2444091,18.5570377 52.2446025,18.5528011 52.2446429,18.5455651 52.2448581,18.5418261 52.2449657,18.5353433 52.2452212,18.5336217 52.2453019,18.526722 52.2454768,18.5198761 52.2456382,18.5156259 52.2456785,18.5096677 52.245544,18.5029159 52.2454633,18.4956799 52.2453961,18.4925461 52.2453692,18.4878925 52.2453288,18.4825664 52.2452616,18.4782759 52.2451943,18.4755456 52.2451405)",4692945,,rail
"LINESTRING (18.4755456 52.2451405,18.4729095 52.2451002,18.4673951 52.2450733,18.4615041 52.2449253,18.4603205 52.2448043,18.4584375 52.2446294,18.457254 52.2444546,18.4548061 52.2439435,18.4517261 52.2431096,18.4453509 52.2412939,18.4383167 52.2392361,18.4290498 52.2365999,18.4184648 52.2336679,18.4109599 52.2316101,18.4055127 52.2301709,18.4044636 52.2299154,18.4029304 52.2296464,18.4009667 52.229337,18.399541 52.229216,18.3983037 52.2291218,18.396461 52.229068,18.3935424 52.2290949,18.3857281 52.2292025,18.3724936 52.2293101,18.3651365 52.2293505,18.3576719 52.229485,18.3558428 52.229606,18.3536773 52.2298616,18.351364 52.2302382,18.3484454 52.2308972,18.3462665 52.2315832,18.3416398 52.2332644,18.3377125 52.2347304,18.330611 52.2373262,18.3271679 52.2386039,18.3247738 52.2395185,18.3209406 52.2409576,18.3184121 52.2419395,18.3165694 52.2426254,18.314552 52.2431768,18.312817 52.2434727,18.309858 52.2440107,18.3077733 52.2442663,18.3063073 52.2443201,18.3005642 52.2442125,18.2987082 52.2441452,18.2977263 52.2440242,18.2967579 52.2438493,18.2952785 52.2435938,18.2930996 52.2430558,18.2883249 52.2419933,18.2858905 52.241388,18.2848818 52.241119,18.2837655 52.2407559,18.2826491 52.2402045,18.2812638 52.2394513,18.2797843 52.2385232,18.2782242 52.2375548,18.2747541 52.2353491,18.2724139 52.2338965,18.2712437 52.2331299,18.2702754 52.2326053,18.2688362 52.2319059,18.2670878 52.2312066,18.2643306 52.2305206,18.2629452 52.2303592,18.2610623 52.2302516,18.259529 52.2302785,18.2569198 52.2305475,18.2540415 52.2310048,18.2523065 52.2312738)",4692946,,rail
"LINESTRING (18.2523065 52.2312738,18.2498183 52.2316908,18.2472424 52.2321523,18.246258 52.2322271,18.2444886 52.2325012,18.2401274 52.2332115,18.23376 52.2342955,18.2310934 52.2347067,18.2294112 52.2350681,18.2267446 52.2355292,18.2246886 52.2360027,18.2231435 52.2363889,18.2216732 52.2368375)",4692947,,rail
"LINESTRING (18.2216732 52.2368375,18.2206265 52.2371864,18.2180641 52.2379182,18.2150112 52.2388236,18.2129334 52.2394156,18.2107975 52.2399148,18.2091724 52.2402282,18.205748 52.2408318,18.2027531 52.2413078,18.199468 52.2418766,18.1965428 52.2423525,18.1925264 52.2430258,18.1858981 52.2441053,18.1822764 52.2446973,18.175683 52.2457885,18.1681958 52.2470305,18.1635061 52.2477967,18.1582593 52.2486789,18.1543358 52.2493057,18.1521534 52.2496191)",4693360,,rail
"LINESTRING (18.1521534 52.2496191,18.1513475 52.2497602,18.1491913 52.2500383,18.143346 52.2507827,18.1344034 52.2520561,18.1250702 52.2532571,18.1177193 52.2541688,18.1090806 52.2553264,18.09872 52.2566432,18.0920492 52.2575548)",4693361,,rail
